system,question,expected,answer,retrieved,precision,recall,f1,false_positives,false_negatives,unsupported_hallucination,wrong_answer,error_type,retrieval_question,retrieval_query,language,hit_at_1,retrieval_recall_at_1,retrieval_precision_at_1,hit_at_3,retrieval_recall_at_3,retrieval_precision_at_3,hit_at_5,retrieval_recall_at_5,retrieval_precision_at_5,hit_at_10,retrieval_recall_at_10,retrieval_precision_at_10
hybrid_chunk_300,Which scholarships are available to Mongolian students?,Australia Awards; Chevening Scholarship; Chinese Government Scholarship; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship; Stipendium Hungaricum; Swiss Government Excellence Scholarships; Türkiye Scholarships,AAUW International Fellowships; Australia Awards; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Government of Ireland International Education Scholarship; Swiss Government Excellence Scholarships; Türkiye Scholarships,Erasmus Mundus Joint Master Degrees; Swiss Government Excellence Scholarships; Boren Awards; Swedish Institute Scholarships; Vanier Canada Graduate Scholarships; United Nations Fellowships; Benjamin A. Gilman International Scholarship; Australia Awards; Commonwealth Scholarship and Fellowship Plan; Fulbright U.S. Student Program; Marshall Scholarship; DAAD Scholarships; Government of Ireland International Education Scholarship; Türkiye Scholarships; AAUW International Fellowships,0.5714285714285714,0.4,0.47058823529411764,AAUW International Fellowships; DAAD Scholarships; Government of Ireland International Education Scholarship,Chevening Scholarship; Chinese Government Scholarship; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship; Stipendium Hungaricum,1,1,mixed_over_and_under_selection,Which scholarships are available to Mongolian students?,Which scholarships are available to Mongolian students? eligible nationality international students mongolia mongolia eligible mongolian students,en,1,0.1,1.0,1,0.2,0.6666666666666666,1,0.2,0.4,1,0.4,0.4
hybrid_chunk_300,Which scholarships can Mongolian students apply to in Japan?,Asian Development Bank–Japan Scholarship Program; JICA Scholarships; MEXT Scholarship,Asian Development Bank–Japan Scholarship Program; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program; MEXT Scholarship,MEXT Scholarship; Japan-IMF Scholarship Program for Asia; Asian Development Bank–Japan Scholarship Program; JICA Scholarships; Joint Japan/World Bank Graduate Scholarship Program,0.5,0.6666666666666666,0.5714285714285715,Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program,JICA Scholarships,1,1,mixed_over_and_under_selection,Which scholarships can Mongolian students apply to in Japan?,Which scholarships can Mongolian students apply to in Japan? asia asian china eligible nationality international students japan japanese korea mongolia mongolia eligible mongolian students turkey,en,1,0.3333333333333333,1.0,1,0.6666666666666666,0.6666666666666666,1,1.0,0.6,1,1.0,0.6
hybrid_chunk_300,Which scholarships can Mongolian students apply to in the UK?,Chevening Scholarship; Gates Cambridge Scholarship; Rhodes Scholarship,Chevening Scholarship; Gates Cambridge Scholarship,Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; Marshall Scholarship; Churchill Scholarship; Gates Cambridge Scholarship,1.0,0.6666666666666666,0.8,,Rhodes Scholarship,0,1,retrieval_miss,Which scholarships can Mongolian students apply to in the UK?,Which scholarships can Mongolian students apply to in the UK? britain british eligible nationality england international students mongolia mongolia eligible mongolian students uk united kingdom,en,1,0.3333333333333333,1.0,1,0.3333333333333333,0.3333333333333333,1,0.6666666666666666,0.4,1,0.6666666666666666,0.4
hybrid_chunk_300,Which scholarships can Mongolian students apply to in Australia?,Australia Awards,Australia Awards,Australia Awards; MEXT Scholarship; Global Korea Scholarship; Swedish Institute Scholarships; Erasmus Mundus Joint Master Degrees,1.0,1.0,1.0,,,0,0,correct,Which scholarships can Mongolian students apply to in Australia?,Which scholarships can Mongolian students apply to in Australia? australia australian eligible nationality international students mongolia mongolia eligible mongolian students,en,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,0.2,1,1.0,0.2
hybrid_chunk_300,Which scholarships can Mongolian students apply to in South Korea?,Global Korea Scholarship,Global Korea Scholarship,Global Korea Scholarship; MEXT Scholarship; Chinese Government Scholarship; Schwarzman Scholars; Türkiye Scholarships,1.0,1.0,1.0,,,0,0,correct,Which scholarships can Mongolian students apply to in South Korea?,Which scholarships can Mongolian students apply to in South Korea? asia asian china eligible nationality international students japan korea korean mongolia mongolia eligible mongolian students south korea turkey,en,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,0.2,1,1.0,0.2
hybrid_chunk_300,Which scholarships are available in Germany for Mongolian students?,DAAD Scholarships,DAAD Scholarships,DAAD Scholarships; Swiss Government Excellence Scholarships; Erasmus Mundus Joint Master Degrees; Eiffel Excellence Scholarship Program; Stipendium Hungaricum; Swedish Institute Scholarships; United Nations Fellowships; Government of Ireland International Education Scholarship; Churchill Scholarship; George J. Mitchell Scholarship; The Gates Scholarship; Vanier Canada Graduate Scholarships; Marshall Scholarship; Australia Awards; Boren Awards,1.0,1.0,1.0,,,0,0,correct,Which scholarships are available in Germany for Mongolian students?,Which scholarships are available in Germany for Mongolian students? eligible nationality europe european france german germany hungary international students mongolia mongolia eligible mongolian students switzerland,en,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,0.2,1,1.0,0.1
hybrid_chunk_300,Which scholarships are available in Hungary for Mongolian students?,Stipendium Hungaricum,NONE,Stipendium Hungaricum; Swiss Government Excellence Scholarships; Erasmus Mundus Joint Master Degrees; Eiffel Excellence Scholarship Program; DAAD Scholarships; Swedish Institute Scholarships; United Nations Fellowships; Government of Ireland International Education Scholarship; George J. Mitchell Scholarship; The Gates Scholarship; Australia Awards; Vanier Canada Graduate Scholarships; Marshall Scholarship; AAUW International Fellowships; Boren Awards,0.0,0.0,0.0,,Stipendium Hungaricum,0,1,empty_answer,Which scholarships are available in Hungary for Mongolian students?,Which scholarships are available in Hungary for Mongolian students? eligible nationality europe european france germany hungarian hungary international students mongolia mongolia eligible mongolian students switzerland,en,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,0.2,1,1.0,0.1
hybrid_chunk_300,Which scholarships are available in France for Mongolian students?,Eiffel Excellence Scholarship Program,Eiffel Excellence Scholarship Program,Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Swiss Government Excellence Scholarships; Vanier Canada Graduate Scholarships; DAAD Scholarships; Stipendium Hungaricum; Swedish Institute Scholarships; United Nations Fellowships; Government of Ireland International Education Scholarship; George J. Mitchell Scholarship; The Gates Scholarship; Churchill Scholarship; Marshall Scholarship; Australia Awards; AAUW International Fellowships,1.0,1.0,1.0,,,0,0,correct,Which scholarships are available in France for Mongolian students?,Which scholarships are available in France for Mongolian students? eligible nationality europe european france french germany hungary international students mongolia mongolia eligible mongolian students switzerland,en,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,0.2,1,1.0,0.1
hybrid_chunk_300,Which scholarships are available in Switzerland for Mongolian students?,Swiss Government Excellence Scholarships,Swiss Government Excellence Scholarships,Swiss Government Excellence Scholarships; Erasmus Mundus Joint Master Degrees; Eiffel Excellence Scholarship Program; DAAD Scholarships; Stipendium Hungaricum; Swedish Institute Scholarships; United Nations Fellowships; Government of Ireland International Education Scholarship; The Gates Scholarship; George J. Mitchell Scholarship; Vanier Canada Graduate Scholarships; Boren Awards; Australia Awards; Marshall Scholarship; Churchill Scholarship,1.0,1.0,1.0,,,0,0,correct,Which scholarships are available in Switzerland for Mongolian students?,Which scholarships are available in Switzerland for Mongolian students? eligible nationality europe european france germany hungary international students mongolia mongolia eligible mongolian students swiss switzerland,en,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,0.2,1,1.0,0.1
hybrid_chunk_300,Which scholarships are available in Turkey for Mongolian students?,Türkiye Scholarships,Türkiye Scholarships,Türkiye Scholarships; Joint Japan/World Bank Graduate Scholarship Program; JICA Scholarships; Japan-IMF Scholarship Program for Asia; Chinese Government Scholarship; Schwarzman Scholars; MEXT Scholarship; Global Korea Scholarship; Asian Development Bank–Japan Scholarship Program; ADB Internship Program; Swiss Government Excellence Scholarships; Erasmus Mundus Joint Master Degrees; United Nations Fellowships; Swedish Institute Scholarships; Government of Ireland International Education Scholarship,1.0,1.0,1.0,,,0,0,correct,Which scholarships are available in Turkey for Mongolian students?,Which scholarships are available in Turkey for Mongolian students? asia asian china eligible nationality international students japan korea mongolia mongolia eligible mongolian students turkey turkish türkiye,en,1,1.0,1.0,1,1.0,0.3333333333333333,1,1.0,0.2,1,1.0,0.1
hybrid_chunk_300,Which scholarships are fully funded for Mongolian students?,Australia Awards; Chevening Scholarship; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship; Stipendium Hungaricum; Swiss Government Excellence Scholarships; Türkiye Scholarships,Chevening Scholarship; Swiss Government Excellence Scholarships,Chevening Scholarship; ADB Internship Program; Google Generation Scholarship; Boren Awards; Swiss Government Excellence Scholarships,1.0,0.25,0.4,,Australia Awards; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship; Stipendium Hungaricum; Türkiye Scholarships,0,1,retrieval_miss,Which scholarships are fully funded for Mongolian students?,Which scholarships are fully funded for Mongolian students? eligible nationality full funding full scholarship fully funded international students mongolia mongolia eligible mongolian students tuition and living,en,1,0.125,1.0,1,0.125,0.3333333333333333,1,0.25,0.4,1,0.25,0.4
